"chl","LMA","N","S"
567.2,70.285872702663,3.06,0.46
498.6,58.0118852107886,3.28,0.88
467.3444444,62.6547240131668,2.87,0.16
195.7333333,38.5486140855412,2.22,0.12
243.0444444,62.6711815175266,1.84,0.15
404.5222222,50.76006518661,2.32,0.14
324.0888889,50.0400873628044,2.47,0.14
565.7,55.8986222586717,4.11,0.33
406.0555556,68.9715613864905,2.38,0.16
433.1,44.1929987104263,2.23,0.25
238.3555556,60.2793217154192,1.49,0.14
359,60.6761018950224,2.35,0.14
512.9111111,65.8251861332846,2.08,0.12
510,58.3955656387906,2.61,0.17
534.1,66.8239619122135,2.54,0.19
462.3,73.3511631895357,3.05,0.23
535.1,61.2507591570403,2.9,0.36
412.6333333,58.3927532933829,2.98,0.18
257.6366667,60.75964797498,0.85,0.14
386.9,65.1803033237086,2.31,0.15
575,65.0197645759271,3.16,0.43
418.6333333,54.5251273842744,2.57,0.18
294.1888889,49.0985392218075,2.66,0.18
365.6333333,62.909993891589,2.08,0.13
519.3444444,56.6688348139106,2.57,0.16
306.6555556,82.3003997381976,1.88,0.14
580.2,57.8527447062891,3.13,0.44
229.7222222,49.3320647945243,1.85,0.12
215.0555556,58.0804634305385,1.81,0.12
387.5,59.5240201716358,2.66,0.16
460.7666667,62.2231808070118,2.53,0.17
459.4222222,69.2311958021114,2.78,0.19
460.2,61.4954877909942,2.65,0.23
399.2555556,54.3088001775937,2.35,0.15
269.4222222,51.3778543515904,1.77,0.13
351.1222222,57.2803299432226,2.22,0.23
200.5777778,52.8105804849946,1.5,0.09
567.3,61.371759432764,2.82,0.24
354.1555556,50.7880370578704,2.09,0.29
600.5,56.573378086095,2.92,0.27
516.9888889,59.5568913326175,3.55,0.23
348.7222222,52.5972701939534,2.72,0.18
333.2,64.138857669199,1.77,0.16
619.3,61.8657475896189,3.75,0.54
461.4,53.8207120378654,3.11,0.32
498.1,55.3184732881605,2.36,0.18
440.1,49.7799249083962,2.53,0.17
482.3666667,75.8898832131154,2.99,0.32
245.1444444,60.0115942028986,1.53,0.111
597.7,57.9245336673215,3.18,0.42
386.7333333,57.0551486516816,2.87,0.18
299.1555556,56.7476856028882,1.81,0.15
227.5111111,54.2700236976407,1.68,0.1
499.2,49.1190071073028,3.15,0.33
346.3444444,63.3157954825727,1.86,0.13
290.0888889,53.8547052284237,1.53,0.1
419.5333333,68.3078728941706,2.98,0.21
328.5666667,56.5622069932842,1.88,0.16
448.0555556,57.5318822514143,3.1,0.19
422,60.0547666677598,3.29,0.32
472.3444444,57.039850647916,2.65,0.2
198.1444444,52.6709621229081,1.55,0.16
567.7,68.2916914393836,2.81,0.25
281.6333333,62.0872550654814,2,0.14
525,56.3646864801297,2.89,0.41
313.3111111,55.2080188711046,1.97,0.17
559.4777778,63.1943683771492,3.04,0.18
512.5,53.7707885710189,3.42,0.24
410.9777778,63.4001567687266,3.03,0.16
330.8,74.0483451721624,2.12,0.13
370.4,45.0178650493734,2,0.17
351.4111111,52.180384245303,2.18,0.13
271.1666667,56.6719298156544,1.57,0.12
639.4,73.6248132030185,3.92,0.47
511.5,60.6593861601366,2.49,0.25
235.3888889,50.1502590713307,1.48,0.11
314.7333333,54.7065522648811,1.32,0.11
371.1555556,58.2711372520144,2.78,0.17
621.9,65.5606816306487,3.26,0.43
452.8333333,64.3555374112631,3.52,0.16
314.1888889,61.8243765408586,1.66,0.12
424,43.5175660089155,3.31,0.24
247.4666667,61.8326055387647,1.38,0.1
379.4555556,48.372823222955,1.69,0.09
483.4666667,67.2655107653296,2.17,0.14
495.1,55.3904283361606,3.77,0.51
471.5222222,54.4674427980602,2.78,0.2
